record_id,source,doi,pmid,year,venue,title,reviewer_decision,reviewer_reason_code,reviewer_notes,leakage_note,author_protocol_claim_seen,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0001,WoS/Scopus,10.1002/adfm.202200457,,2022,ADVANCED FUNCTIONAL MATERIALS,Adhesive and Hydrophobic Bilayer Hydrogel Enabled On-Skin Biosensors for High-Fidelity Classifi,exclude,exclude ,not-eeg,,,,,
SCR-0002,WoS/Scopus,10.1002/ima.22670,,2022,INTERNATIONAL JOURNAL OF IMAGING SYSTE,Emotion identification by dynamic entropy and ensemble learning from electroencephalogram signa,include-candidate,include,EEG cross-subject emotion (journal),LOSO (subject-level) stated; DEAP 32-subj; per-session results,subject-independent; LOSO,no,,
SCR-0003,WoS/Scopus,10.1002/int.22551,,2021,INTERNATIONAL JOURNAL OF INTELLIGENT S,Three-dimensional feature maps and convolutional neural network-based emotion recognition,exclude,exclude,subject-dependent-only,,,,,
SCR-0004,WoS/Scopus,10.1002/jnm.70087,,2025,INTERNATIONAL JOURNAL OF NUMERICAL MOD,A Lightweight Network Based on Multi-Scale Convolutional Neural Network and Gated Transformer f,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0005,WoS/Scopus,10.1007/s00521-014-1653-6,,2015,NEURAL COMPUTING \& APPLICATIONS,Learning to decode human emotions from event-related potentials,exclude,exclude,private-insufficient,,,,,
SCR-0006,WoS/Scopus,10.1007/s00521-020-05670-4,,2021,NEURAL COMPUTING \& APPLICATIONS,A deep multi-source adaptation transfer network for cross-subject electroencephalogram emotion ,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0007,WoS/Scopus,10.1007/s00521-022-07643-1,,2022,NEURAL COMPUTING \& APPLICATIONS,Multi-domain fusion deep graph convolution neural network for EEG emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0008,WoS/Scopus,10.1007/s00530-025-01894-3,,2025,MULTIMEDIA SYSTEMS,Unsupervised subdomain adaptation framework guided by pseudo label for cross-subject and cross-,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0009,WoS/Scopus,10.1007/s00530-026-02247-4,,2026,MULTIMEDIA SYSTEMS,Subdomain adaptive feature enhancement via confidence-adjudicated dual-decision pseudo-labeling,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0010,WoS/Scopus,10.1007/s10044-025-01501-1,,2025,PATTERN ANALYSIS AND APPLICATIONS,Subject-independent multi-channel voting for EEG-based emotion recognition using wavelet scatte,include-candidate,include,EEG cross-subject emotion (journal),LOSO stated but >97% subject-independent on DEAP/GAMEEMO (near-ceiling),subject-independent; LOSO,unclear,claim-method-mismatch-suspected,LOSO claimed yet ~97% subject-independent on DEAP is near-ceiling; segment/trial-level leakage not excluded
