paper_id,title,first_author,year,venue,source,doi,url,screen_stage,decision,reason_code,reviewer,notes
EEG-0001,Exploring EEG Features in Cross-Subject Emotion Recognition,Li,2018,Frontiers in Neuroscience,WebSearch,10.3389/fnins.2018.00162,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2018.00162/full,full-text,include,include,Claude,"LOSO on SEED+DEAP; SVM+feature selection; verified from full text; extracted (2 result rows); inductive"
EEG-0002,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,Zhong,2020,IEEE Trans. Affective Computing,WebSearch,not verified,https://ieeexplore.ieee.org/document/9091308/,full-text,include,include,Claude,"Subject-independent LOSO SEED+SEED-IV; GNN+NodeDAT; verified via ar5iv; Table II also yields common-protocol baselines; transductive-leaning"
EEG-0003,Personalizing EEG-Based Affective Models with Transfer Learning,Zheng,2016,IJCAI 2016,user-PDF,not verified,https://www.ijcai.org/Proceedings/16/Papers/388.pdf,full-text,include,include,Claude,"VERIFIED FROM FULL TEXT (root PDF): Table 1 TPT 76.31/15.89; explicit transductive LOSO on SEED; foundational cross-subject transfer"
EEG-0004,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition,Zhao,2021,AAAI 2021,user-PDF,not verified,https://ojs.aaai.org/index.php/AAAI/article/view/16169,full-text,include,include,Claude,"VERIFIED FROM FULL TEXT (root PDF): Table 2 PPDA(Few) 86.7/7.1; few UNLABELED target calibration on SEED; best baseline WGANDA 87.1"
EEG-0005,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks (DGCNN),Song,2018,IEEE Trans. Affective Computing,WebSearch,not verified,https://ieeexplore.ieee.org/document/8320798,full-text,include,include,Claude,"Subject-independent SEED/SEED-IV; inductive GNN baseline; values from RGNN Table II common-protocol reproduction - reconfirm DGCNN primary"
EEG-0006,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Chen,2021,Frontiers in Neuroscience,WebSearch,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,full-text,include,include,Claude,"Verified via ar5iv; cross-subject SEED 89.63/6.79 SEED-IV 59.34/5.48 (transductive LOSO) + cross-session companion; 4 result rows"
EEG-0007,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition (BiDANN/BiDANN-S),Li,2018,IEEE Trans. Affective Computing,WebSearch,10.1109/TAFFC.2018.2885474,https://ieeexplore.ieee.org/document/8567966/,full-text,include,include,Claude,"BENCHMARK-AMBIGUITY exemplar: subject-independent BiDANN-S=84.14 not subject-dependent ~92-97; values from RGNN Table II; transductive-leaning"
EEG-0008,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,Li,2021,IEEE Trans. Cognitive and Developmental Systems (vol 13),WebSearch,not verified,https://arxiv.org/abs/1906.01704,full-text,include,include,Claude,"UPGRADED to full text (arXiv 1906.01704): self-reported SEED 85.40/7.53 SEED-IV 69.03/8.66 match RGNN; venue/year confirmed; transductive (domain discriminator)"
SURV-0001,Toward cross-subject and cross-session generalization in EEG-based emotion recognition: Systematic review taxonomy and methods,Apicella,2024,Neurocomputing (arXiv:2212.08744),WebSearch,not verified,https://arxiv.org/abs/2212.08744,full-text,exclude,non-primary-study,Claude,"Competing systematic review (75 papers); NO meta-analysis and NO leakage taxonomy per fetch; retain for Related Work differentiation"
EEG-0009,SDC-Net: A Domain Adaptation Framework with Semantic-Dynamic Consistency for Cross-Subject EEG Emotion Recognition,(unknown),2025,arXiv,WebSearch,not verified,https://arxiv.org/abs/2507.17524,full-text,include,include,Claude,"INCLUDED - full text (PDF): cross-subject single-session LOSO, TRANSDUCTIVE label-free DA; SEED 91.85/5.98 SEED-IV 74.88/10.47 (FACED-2 75.2/8.46, FACED-9 42.4/6.55); code github.com/XuanSuTrum/SDC-Net; Table II/III corroborate RGNN/BiHDM/MS-MDA/CLISA; extracted 2 meta rows"
