paper_id,authors,year,title,venue,venue_type,doi,url,code_repo,dataset_link,peer_reviewed,dataset_name,n_subjects,n_sessions,eeg_channels,sampling_rate_hz,stimulus_type,emotion_model,class_labels,class_balance,data_status,filtering,artifact_removal,baseline_correction,re_referencing,window_length_s,window_overlap,feature_extraction,normalization,preproc_in_cv,feature_type,model_family,adaptation_method,source_selection,target_data_used,target_labels_used,hyperparam_protocol,subject_independent,split_type,n_folds,cross_setting,train_val_test_separation,model_selection_strategy,metric,result_mean,result_sd,result_ci,per_subject_reported,statistical_test,baselines_compared,best_baseline,claimed_sota,mean_or_best,protocol_category,leakage_categories,risk_rating,risk_evidence,ambiguity_notes,include_meta,include_narrative,primary_result,verification_status,source_checked
EEG-0001,"Li, Song, Zhang, Zhang, Hou, Hu",2018,Exploring EEG Features in Cross-Subject Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2018.00162,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2018.00162/full,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,18 features (9 time-frequency + 9 nonlinear dynamical),not verified,unclear,handcrafted,traditional-ML-SVM-linear,RFE feature selection,all other subjects,no,no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,83.33,10.16,not reported,unclear,not verified,FS variants (Chi2/MI/ANOVA/L1); no-FS baseline,78.44,no,mean,LOSO-inductive,feature-selection-CV-overlap-unclear,some-concerns,RFE/feature-selection vs CV boundary unclear (preproc_in_cv unclear),best config across FS methods; source printed 0.8333 proportion -> 83.33pct,yes,yes,yes,verified-from-fulltext,2026-06-24 Frontiers full text
EEG-0001,"Li, Song, Zhang, Zhang, Hou, Hu",2018,Exploring EEG Features in Cross-Subject Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2018.00162,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2018.00162/full,none found,http://eecs.qmul.ac.uk/mmv/datasets/deap/,yes,DEAP,32,1,32,128,music-video clips,dimensional,binary (valence or arousal; dimension unclear),unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,18 features (9 time-frequency + 9 nonlinear dynamical),not verified,unclear,handcrafted,traditional-ML-SVM-linear,L1-norm feature selection,all other subjects,no,no,unclear,yes,LOSO,32,cross-subject,unclear,unclear,accuracy,59.06,8.68,not reported,unclear,not verified,FS variants; no-FS baseline,55.31,no,mean,LOSO-inductive,feature-selection-CV-overlap-unclear,some-concerns,which affective dimension (valence vs arousal) unclear; FS vs CV boundary unclear,best config (L1-norm); source printed 0.5906 proportion -> 59.06pct; AUC 0.605,yes,yes,yes,verified-from-fulltext,2026-06-24 Frontiers full text
EEG-0002,"Zhong, Wang, Miao",2020,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,IEEE Transactions on Affective Computing,journal,10.1109/taffc.2020.2994159,https://ieeexplore.ieee.org/document/9091308/,https://github.com/zhongpeixiang/RGNN,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,GNN,GNN-graph-neural-network,NodeDAT (node-wise domain adversarial) + EmotionDL,all other subjects,yes (unlabeled target via NodeDAT; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,85.3,6.72,not reported,unclear,not verified,DGCNN/DAN/BiDANN (subject-independent table),not verified,yes,mean,LOSO-domain-adversarial-transductive-leaning,transductive/target-distribution (NodeDAT uses unlabeled target; reconfirm),some-concerns,domain-adversarial adaptation uses unlabeled target; transductive vs inductive needs confirmation,printed as 85.30/06.72 (mean/std) percent; subject-dependent SEED 94.24/05.95 for context,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 1907.07835 ar5iv Table II
EEG-0002,"Zhong, Wang, Miao",2020,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,IEEE Transactions on Affective Computing,journal,10.1109/taffc.2020.2994159,https://ieeexplore.ieee.org/document/9091308/,https://github.com/zhongpeixiang/RGNN,https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,GNN,GNN-graph-neural-network,NodeDAT (node-wise domain adversarial) + EmotionDL,all other subjects,yes (unlabeled target via NodeDAT; reconfirm),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,73.84,8.02,not reported,unclear,not verified,DGCNN/DAN/BiDANN (subject-independent table),not verified,yes,mean,LOSO-domain-adversarial-transductive-leaning,transductive/target-distribution (NodeDAT uses unlabeled target; reconfirm),some-concerns,domain-adversarial adaptation uses unlabeled target; transductive vs inductive needs confirmation,printed as 73.84/08.02 (mean/std) percent,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 1907.07835 ar5iv Table II
EEG-0003,"Zheng, Lu",2016,Personalizing EEG-Based Affective Models with Transfer Learning,IJCAI 2016 (Proc. 25th Int. Joint Conf. on Artificial Intelligence),conference,NA,https://www.ijcai.org/Proceedings/16/Papers/388.pdf,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear (one experiment per subject used),62,1000 raw / 200 downsampled,film clips,discrete-3class,positive/neutral/negative,unclear,public,bandpass 1-75 Hz,serious noise/artifacts discarded,not verified,not verified,1,none (non-overlapping),differential entropy (DE; 5 bands; 310-dim),unclear,unclear,handcrafted,transfer-learning-traditional,TPT (transductive parameter transfer; also TCA/KPCA/T-SVM),uses target-subject data (transductive),no (TPT predicts target classifier from unlabeled target distribution),no,unclear,yes,LOSO,15,cross-subject,unclear,best dimension chosen (TCA/KPCA dim sweep),accuracy,76.31,15.89,not reported,yes (per-subject Fig 4),ANOVA (TPT vs generic p<0.01),Generic SVM 56.73; KPCA 61.28; TCA 63.64; T-SVM 72.53,72.53,no,mean,UDA-transductive,transductive (uses target data by design),some-concerns,transductive by design - pool only in transductive stratum,Table 1 full text: TPT 76.31/15.89 (best of 5 methods); generic 56.73/16.29; T-SVM 72.53/14.00,yes,yes,yes,verified-from-fulltext,2026-06-24 IJCAI 388.pdf full text Table 1 (root-folder PDF)
EEG-0004,"Zhao, Yan, Lu",2021,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition,AAAI 2021 (Proc. 35th AAAI Conf. on Artificial Intelligence),conference,10.1609/aaai.v35i1.16169,https://ojs.aaai.org/index.php/AAAI/article/view/16169,none found,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,3 (one experiment per subject used),62,200,film clips,discrete-3class,happy/neutral/sad,unclear,public,bandpass 0-75 Hz,not verified,not verified,not verified,1,none (non-overlapping),differential entropy (DE; 5 bands; 310-dim; 3394 samples/subj),not verified,unclear,deep-features,deep-learning-domain-adaptation,PPDA (LSTM AE shared/private encoders; few unlabeled target calibration 45s),source subjects,uses few unlabeled target samples,no,random search (lr/loss trade-offs),yes,LOSO,15,cross-subject,unclear,unclear,accuracy,86.7,7.1,not reported,unclear,not verified,SVM 56.7; DICA 69.4; DResNet 85.3; TCA 64.0; TPT 75.2; DANN 79.2; DAN 83.8; WGANDA 87.1,87.1,no,mean,UDA-target-calibration,transductive/target-calibration (uses unlabeled target by design),some-concerns,uses few unlabeled target samples for calibration; outperforms all DA baselines except WGANDA (slightly higher),Table 2 full text: PPDA(Few) 86.7/7.1; PPDA_NC(no calibration) 85.4/7.1; WGANDA best baseline 87.1/7.1,yes,yes,yes,verified-from-fulltext,2026-06-24 AAAI-21 PDF full text Table 2 (root-folder PDF)
EEG-0005,Song/Zheng/Song/Cui (reconfirm),2018,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,IEEE Transactions on Affective Computing,journal,10.1109/taffc.2018.2817622,https://ieeexplore.ieee.org/document/8320798,none found (unofficial reproductions found; no author repository verified),https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,GNN,GNN-dynamical-graph-CNN,none (no domain adaptation),all other subjects,no,no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,79.95,9.02,not reported,unclear,not verified,this row is itself a baseline,n/a,no,mean,LOSO-inductive,provenance-secondary (value from RGNN Table II reproduction),some-concerns,value tabulated by RGNN not DGCNN primary; DGCNN self-reported subject-independent may differ,common-protocol reproduction in RGNN Table II; reconfirm against DGCNN primary,yes,yes,yes,verified-RGNN-reproduction,2026-06-24 RGNN ar5iv Table II (common-protocol reproduction; primary self-report not separately machine-read)
EEG-0005,Song/Zheng/Song/Cui (reconfirm),2018,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,IEEE Transactions on Affective Computing,journal,10.1109/taffc.2018.2817622,https://ieeexplore.ieee.org/document/8320798,none found (unofficial reproductions found; no author repository verified),https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,GNN,GNN-dynamical-graph-CNN,none (no domain adaptation),all other subjects,no,no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,52.82,9.23,not reported,unclear,not verified,this row is itself a baseline,n/a,no,mean,LOSO-inductive,provenance-secondary (value from RGNN Table II reproduction),some-concerns,value tabulated by RGNN not DGCNN primary,common-protocol reproduction in RGNN Table II; reconfirm against DGCNN primary,yes,yes,yes,verified-RGNN-reproduction,2026-06-24 RGNN ar5iv Table II (common-protocol reproduction; primary self-report not separately machine-read)
EEG-0006,Chen et al. (full author list reconfirm),2021,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,https://github.com/VoiceBeer/MS-MDA,https://bcmi.sjtu.edu.cn/home/seed/seed.html,yes,SEED,15,unclear,62,200,film clips,discrete-3class,positive/neutral/negative,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-multisource-DA,MS-MDA (multisource marginal distribution adaptation; MMD),14 other subjects (one session) multi-source branches,yes (unlabeled target during adaptation),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,89.63,6.79,not reported,unclear,not verified,DAN/DDC/DCORAL/DANN (reconfirm),not verified,yes,mean,UDA-transductive-LOSO,transductive/target-distribution (uses unlabeled target by design),some-concerns,transductive multisource DA; pool only in transductive stratum,printed 89.63 plus-minus 6.79; averaged over 3 sessions; one subject as unlabeled target,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 2107.07740 ar5iv tables
EEG-0006,Chen et al. (full author list reconfirm),2021,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Frontiers in Neuroscience,journal,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,https://github.com/VoiceBeer/MS-MDA,https://weilongzheng.github.io/datasets/seed-iv/,yes,SEED-IV,15,unclear,62,200,movie clips,discrete-4class,happy/sad/fear/neutral,unclear,public,not verified,not verified,not verified,not verified,not verified,not verified,differential entropy (DE; band/window details not captured),not verified,unclear,handcrafted-DE,deep-learning-multisource-DA,MS-MDA (multisource marginal distribution adaptation; MMD),other subjects multi-source branches,yes (unlabeled target during adaptation),no,unclear,yes,LOSO,15,cross-subject,unclear,unclear,accuracy,59.34,5.48,not reported,unclear,not verified,DAN/DDC/DCORAL/DANN (reconfirm),not verified,yes,mean,UDA-transductive-LOSO,transductive/target-distribution (uses unlabeled target by design),some-concerns,transductive multisource DA; pool only in transductive stratum,printed 59.34 plus-minus 5.48,yes,yes,yes,verified-from-fulltext,2026-06-24 arXiv 2107.07740 ar5iv tables
