reviewer_status,paper_id,title,authors,year,venue,doi,url,reviewer_notes
,EEG-0001,Exploring EEG Features in Cross-Subject Emotion Recognition,"Li, Song, Zhang, Zhang, Hou, Hu",2018,Frontiers in Neuroscience,10.3389/fnins.2018.00162,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2018.00162/full,
,EEG-0002,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,"Zhong, Wang, Miao",2020,IEEE Transactions on Affective Computing,not verified,https://ieeexplore.ieee.org/document/9091308/,
,EEG-0003,Personalizing EEG-Based Affective Models with Transfer Learning,"Zheng, Lu",2016,IJCAI 2016 (Proc. 25th Int. Joint Conf. on Artificial Intelligence),not verified,https://www.ijcai.org/Proceedings/16/Papers/388.pdf,
,EEG-0004,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition,"Zhao, Yan, Lu",2021,AAAI 2021 (Proc. 35th AAAI Conf. on Artificial Intelligence),not verified,https://ojs.aaai.org/index.php/AAAI/article/view/16169,
,EEG-0005,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,Song/Zheng/Song/Cui (reconfirm),2018,IEEE Transactions on Affective Computing,not verified,https://ieeexplore.ieee.org/document/8320798,
,EEG-0006,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,Chen et al. (full author list reconfirm),2021,Frontiers in Neuroscience,10.3389/fnins.2021.778488,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.778488/full,
,EEG-0007,A Bi-Hemisphere Domain Adversarial Neural Network Model for EEG Emotion Recognition,Li/Zheng/Cui/Zhang/Zong (reconfirm),2018,IEEE Transactions on Affective Computing,10.1109/TAFFC.2018.2885474 (reconfirm),https://ieeexplore.ieee.org/document/8567966/,
,EEG-0008,A Novel Bi-hemispheric Discrepancy Model (BiHDM) for EEG Emotion Recognition,"Li, Zheng, Wang, Zong, Qi, Cui, Zhang, Song",2021,IEEE Transactions on Cognitive and Developmental Systems (vol 13),not verified,https://arxiv.org/abs/1906.01704,
,EEG-0009,SDC-Net: A Domain Adaptation Framework with Semantic-Dynamic Consistency for Cross-Subject EEG Emotion Recognition,(authors not verified this pass),2025,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2507.17524,
,EEG-0010,HEDN: A Hard-Easy Dual Network with Source Reliability Assessment for Cross-Subject EEG Emotion Recognition,(authors not verified this pass),2025,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2511.06782,
,EEG-0014,Cross-Subject EEG Emotion Recognition With Self-Organized Graph Neural Network,"Li, Li, Pan, Wang",2021,Frontiers in Neuroscience,10.3389/fnins.2021.611653,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.611653/full,
,EEG-0015,EmT: A Novel Transformer for Generalized Cross-subject EEG Emotion Recognition,"Ding, Tong, Zhang, Jiang, Li, Liang, Guan",2024,arXiv preprint (peer-review status reconfirm),not verified,https://arxiv.org/abs/2406.18345,
,EEG-0016,EEGFuseNet: Hybrid Unsupervised Deep Feature Characterization and Fusion for High-Dimensional EEG with An Application to Emotion Recognition,"Liang, Zhou, Zhang, Li, Huang, Zhang, Ishii",2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering (vol 29),not verified,https://arxiv.org/abs/2102.03777,
,EEG-0017,MTLFuseNet: A novel emotion recognition model based on deep latent feature fusion of EEG signals and multi-task learning,"Li, Ren, Ge, et al.",2023,Knowledge-Based Systems (vol 276),10.1016/j.knosys.2023.110756,https://www.sciencedirect.com/science/article/abs/pii/S0950705123005063,
,EEG-0020,Contrastive Learning of Subject-Invariant EEG Representations for Cross-Subject Emotion Recognition,"Shen, Liu, Hu, Zhang, Song",2022,IEEE Transactions on Affective Computing (vol 14),10.1109/TAFFC.2022.3164516,https://arxiv.org/abs/2109.09559,
,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,(authors not verified this pass),2025,IEEE Transactions (under review; arXiv),not verified,https://arxiv.org/abs/2503.18998,
,EEG-0022,Region-aware Spatiotemporal Modeling with Collaborative Domain Generalization for Cross-Subject EEG Emotion Recognition (RSM-CoDG),Wu et al. (full list not verified),2026,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2601.15615,
,EEG-0024,EEGMatch: Learning with Incomplete Labels for Semi-Supervised EEG-based Cross-Subject Emotion Recognition,(authors not verified this pass),2023,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2304.06496,
,EEG-0035,DAGAM: A Domain Adversarial Graph Attention Model for Subject Independent EEG-Based Emotion Recognition,(authors not verified this pass),2022,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2202.12948,
,EEG-0042,PR-PL: A Novel Transfer Learning Framework with Prototypical Representation based Pairwise Learning for EEG-Based Emotion Recognition,(authors not verified this pass),2022,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2202.06509,
,EEG-0043,DAMSDAN: Distribution-Aware Multi-Source Domain Adaptation Network for Cross-Domain EEG Emotion Recognition,(authors not verified this pass),2025,arXiv (published venue unverified),not verified,https://arxiv.org/abs/2510.17475,
,EEG-0053,Cross-dataset EEG emotion recognition based on pre-trained Vision Transformer considering emotional sensitivity diversity,"Wang, Tian, Zhou",2025,Expert Systems with Applications (vol 279),10.1016/j.eswa.2025.127348,https://www.sciencedirect.com/science/article/abs/pii/S0957417425009704,
,EEG-0054,Calibration free meta learning based approach for subject independent EEG emotion recognition,"Bhosale, Chakraborty, Kopparapu",2022,Biomedical Signal Processing and Control (vol 72),10.1016/j.bspc.2021.103289,https://www.sciencedirect.com/science/article/abs/pii/S1746809421008867,
,EEG-0058,Cross-Subject EEG Emotion Recognition Based on Interconnected Dynamic Domain Adaptation,An et al.,2024,ICASSP 2024,10.1109/ICASSP48485.2024.10446957,https://doi.org/10.1109/ICASSP48485.2024.10446957,
,EEG-0059,An Adversarial Discriminative Temporal Convolutional Network for EEG-Based Cross-Domain Emotion Recognition,"He, Zhong, et al.",2022,Computers in Biology and Medicine 141:105048,10.1016/j.compbiomed.2021.105048,https://doi.org/10.1016/j.compbiomed.2021.105048,
