action,row_index,reviewer_row_id,paper_id,dataset_name,before_include_meta,after_include_meta,before_include_narrative,after_include_narrative,before_result,after_result,after_protocol_category,after_risk_rating,adjudicator_decision,adjudicator_notes
updated,27,HME-0025,EEG-0042,SEED,no,no,no,no,85.56/4.78,85.56/4.78,B (transductive-UDA; adjudicated); duplicate-not-retained,some-concerns,exclude-from-cross-subject-meta,Duplicate of EEG-0340 journal version; exclude this preprint row to avoid double counting. Values appear correct but not retained.
updated,28,HME-0026,EEG-0042,SEED-IV,no,no,no,no,74.92/7.92,74.92/7.92,B (transductive-UDA; adjudicated); duplicate-not-retained,some-concerns,exclude-from-cross-subject-meta,Duplicate of EEG-0340 journal version; exclude this preprint row to avoid double counting. Values appear correct but not retained.
updated,35,HME-0029,EEG-0053,SEED,yes,yes,yes,yes,87.02/4.36,87.02/4.36,B (transductive-UDA; adjudicated),some-concerns,pool-with-cross-subject,pool-with-cross-subject
updated,672,HME-0030,EEG-0053,SEED-IV,yes,yes,yes,yes,79.47/25.89,79.47/25.89,B (transductive-UDA; adjudicated),some-concerns,pool-with-cross-subject,pool-with-cross-subject
updated,60,HME-0050,EEG-0021,SEED,yes,yes,yes,yes,96.72/1.81,96.72/1.81,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,61,HME-0051,EEG-0021,SEED-IV,yes,yes,yes,yes,95.95/1.47,95.95/1.47,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,62,HME-0052,EEG-0021,SEED-V,yes,yes,yes,yes,98.95/0.36,98.95/0.36,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,316,HME-0113,EEG-0185,SEED,yes,yes,yes,yes,86.78/6.65,86.78/6.65,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,317,HME-0114,EEG-0185,SEED-IV,yes,yes,yes,yes,82.55/8.48,82.55/8.48,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,321,HME-0118,EEG-0187,SEED,yes,yes,yes,yes,93.37/1.88,93.37/1.88,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,673,HME-0134,EEG-0256,SEED,yes,yes,yes,yes,77.5/8.8,77.5/8.8,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
updated,518,HME-0146,EEG-0340,SEED,yes,yes,yes,yes,85.56/4.78,85.56/4.78,B (transductive-UDA; adjudicated),some-concerns,pool-with-cross-subject, 93.18/6.55 is for within subject cross session only - pool-with-cross-subject
updated,519,HME-0147,EEG-0340,SEED-IV,yes,yes,yes,yes,74.92/7.92,74.92/7.92,B (transductive-UDA; adjudicated),some-concerns,pool-with-cross-subject,74.62/14.15 is for  within subject cross session only - pool-with-cross-subject
updated,634,HME-0182,EEG-0433,SEED,no,no,yes,yes,92.04/3.28,92.04/3.28,ambiguous/high-risk semi-supervised LOSO,high,exclude-from-cross-subject-meta,"LOSO is reported, but held-out subject is described as validation sample set and semi-supervised phase uses validation ACC/AUC thresholds; likely target-label/model-selection leakage. Keep narrative-only unless source-only validation is confirmed."
updated,635,HME-0183,EEG-0433,SEED-IV,no,no,yes,yes,82.76/4.02,82.76/4.02,ambiguous/high-risk semi-supervised LOSO,high,exclude-from-cross-subject-meta,"LOSO is reported, but held-out subject is described as validation sample set and semi-supervised phase uses validation ACC/AUC thresholds; likely target-label/model-selection leakage. Keep narrative-only unless source-only validation is confirmed."
updated,638,HME-0184,EEG-0436,SEED,yes,yes,yes,yes,90.09/9.52,90.09/9.52,F (few-shot/target-label; adjudicated),some-concerns,reclassify,"Uses limited labeled target data plus unlabeled target data; valid disclosed semi-supervised/few-shot cross-subject result. Pool only in few-shot/target-label stratum, not no-target or UDA."
updated,639,HME-0185,EEG-0436,SEED-IV,yes,yes,yes,yes,73.08/10.33,73.08/10.33,F (few-shot/target-label; adjudicated),some-concerns,reclassify,Same protocol as SEED; limited labeled target data used. Pool only in few-shot/target-label stratum.
