dataset,included_unique_papers,meta_eligible_unique_papers,included_result_rows,meta_eligible_result_rows,source_file,counting_rule
SEED,280,92,284,92,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
SEED-IV,182,57,184,57,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
SEED-V,22,9,22,9,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
SEED-VII,4,1,4,1,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
DEAP,136,16,175,24,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
DREAMER,30,6,44,10,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
MAHNOB-HCI,9,0,10,0,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
AMIGOS,4,1,5,1,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
FACED,5,2,5,2,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
MPED,8,1,8,1,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
GAMEEMO,2,1,3,1,04_extraction/extraction_master.csv,canonical Fig.2 DATASETS regex mask; per-dataset non-additive unique paper_id count; multi-dataset papers count in each relevant dataset; include_narrative/include_meta == yes
