task,stratum,k,DL_mean,DL_ci_lo,DL_ci_hi,HK_ci_lo,HK_ci_hi,I2,tau,logit_mean,LOO_lo,LOO_hi,maturity,studies,tau2,Q,Q_df,Q_p,PI_lo,PI_hi
DEAP | arousal (binary),inductive/no-target,3,67.78,59.95,75.61,48.94,86.61,96.3,6.79,68.02,65.01,71.93,"fragile (k=3, very high I2)",EEG-0001(59.1/8.7);EEG-0145(70.9/6.2);EEG-0017(73.3/7.7),46.0568,54.4997,2,0,52.3419,83.2111
DEAP | arousal (binary),transductive-UDA,5,68.96,64.99,72.93,63.9,74.03,91.7,4.28,69.03,67.89,70.47,moderate,EEG-0059(63.2/4.6);EEG-0383(67.4/6.0);EEG-0060(69.3/11.3);EEG-0151(72.3/9.3);EEG-0010(73.2/9.0),18.3503,48.36,4,0,59.6755,78.2474
DEAP | arousal (binary),few-shot/target-label,1,,,,,,,,,,,narrative only,EEG-0053(87.0/6.1),,,,,,
DEAP | binary,transductive-UDA,3,65.25,64.3,66.2,64.4,66.1,0,0,65.25,65.13,65.42,fragile,EEG-0156(64.9/4.8);EEG-0384(65.3/4.2);EEG-0108(65.6/5.5),0,0.3321,2,0.847,64.2981,66.1952
DEAP | valence (binary),inductive/no-target,2,,,,,,,,,,,narrative only,EEG-0017(71.3/5.2);EEG-0145(71.4/9.9),,,,,,
DEAP | valence (binary),transductive-UDA,7,67.5,64.55,70.45,63.82,71.18,92.9,3.8,67.56,66.41,68.27,moderate,EEG-0086(63.0/5.7);EEG-0059(64.3/7.1);EEG-0428(65.1/5.2);EEG-0383(66.5/4.3);EEG-0060(68.3/8.9);EEG-0151(72.6/9.3);EEG-0010(73.1/5.0),14.474,83.9339,6,0,59.478,75.5167
DREAMER | arousal (binary),inductive/no-target,3,74.59,67.11,82.07,55.12,94.07,94.4,6.39,74.75,70.58,78.23,"fragile (k=3, very high I2)",EEG-0368(67.6/6.3);EEG-0145(73.5/6.2);EEG-0017(83.3/11.2),40.7683,35.4046,2,0,60.0118,89.1692
DREAMER | arousal (binary),transductive-UDA,1,,,,,,,,,,,narrative only,EEG-0404(72.5/13.4),,,,,,
DREAMER | binary,inductive/no-target,1,,,,,,,,,,,narrative only,EEG-0186(76.3/8.4),,,,,,
DREAMER | valence (binary),inductive/no-target,4,74.91,71.56,78.26,67.54,82.29,88.6,3.17,74.94,73.37,76.57,moderate,EEG-0368(68.6/7.8);EEG-0063(75.1/4.1);EEG-0145(75.5/4.1);EEG-0017(80.4/8.0),10.0303,26.3071,3,0,67.8586,81.9633
DREAMER | valence (binary),transductive-UDA,1,,,,,,,,,,,narrative only,EEG-0404(61.1/12.3),,,,,,
FACED | multi,transductive-UDA,2,,,,,,,,,,,narrative only,EEG-0268(67.9/7.3);EEG-0043(82.9/7.7),,,,,,
GAMEEMO | binary,inductive/no-target,1,,,,,,,,,,,narrative only,EEG-0087(64.3/6.4),,,,,,
MPED | 7-class,inductive/no-target,1,,,,,,,,,,,narrative only,EEG-0087(24.9/5.8),,,,,,
SEED | 3-class,inductive/no-target,26,85.96,83.33,88.6,82.75,89.18,95.5,6.61,87.1,85.58,87.15,moderate (high I2),EEG-0139(60.8/7.0);EEG-0087(69.9/14.4);EEG-0174(71.1/7.0);EEG-0005(80.0/9.0);EEG-0152(81.5/7.8);EEG-0001(83.3/10.2);EEG-0385(83.3/10.2);EEG-0205(83.4/11.4);EEG-0368(84.5/5.8);EEG-0022(86.3/7.2);EEG-0014(86.8/5.8);EEG-0176(87.0/6.0);EEG-0440(87.0/13.3);EEG-0350(87.2/5.7);EEG-0123(87.7/6.2);EEG-0127(87.9/7.0);EEG-0089(89.3/4.4);EEG-0073(89.7/4.7);EEG-0213(90.0/4.3);EEG-0186(90.4/6.2);EEG-0362(93.1/4.1);EEG-0386(93.2/3.4);EEG-0425(93.2/4.7);EEG-0408(93.3/4.0);EEG-0393(93.6/4.3);EEG-0399(94.8/3.4),43.6746,557.7737,25,0,72.7453,99.1835
SEED | 3-class,transductive-UDA,56,89.07,87.85,90.29,87.5,90.64,91.3,4.34,89.49,88.92,89.54,moderate (high I2),EEG-0086(64.2/8.3);EEG-0003(76.3/15.9);EEG-0264(77.2/6.1);EEG-0404(78.7/14.7);EEG-0138(78.9/8.9);EEG-0441(81.0/6.3);EEG-0070(81.0/9.3);EEG-0183(83.6/7.8);EEG-0007(84.1/6.9);EEG-0315(84.6/9.5);EEG-0379(84.6/9.1);EEG-0002(85.3/6.7);EEG-0008(85.4/7.5);EEG-0340(85.6/4.8);EEG-0058(85.8/8.1);EEG-0428(85.9/5.3);EEG-0020(86.4/6.4);EEG-0198(86.5/5.2);EEG-0004(86.7/7.1);EEG-0053(87.0/4.4);EEG-0203(87.8/4.2);EEG-0268(88.1/3.6);EEG-0378(88.2/4.9);EEG-0384(88.7/6.1);EEG-0161(88.8/8.9);EEG-0006(89.6/6.8);EEG-0156(90.2/2.1);EEG-0154(90.2/4.3);EEG-0438(90.2/6.3);EEG-0188(90.3/5.6);EEG-0106(90.7/9.3);EEG-0358(91.1/4.1);EEG-0024(91.3/7.0);EEG-0405(91.5/3.9);EEG-0162(91.7/2.9);EEG-0163(91.7/7.3);EEG-0009(91.8/6.0);EEG-0227(91.9/5.4);EEG-0369(92.1/6.1);EEG-0108(92.5/4.1);EEG-0035(92.6/3.2);EEG-0257(93.0/4.4);EEG-0231(93.1/5.1);EEG-0060(93.8/11.4);EEG-0374(93.8/5.0);EEG-0010(94.0/7.0);EEG-0383(94.5/4.5);EEG-0105(94.7/5.2);EEG-0402(94.9/6.4);EEG-0043(94.9/4.9);EEG-0107(95.0/6.7);EEG-0151(95.4/5.2);EEG-0444(95.5/4.8);EEG-0292(95.7/5.2);EEG-0142(95.7/3.3);EEG-0343(97.6/8.1),18.8375,628.8857,55,0,80.473,97.6608
SEED | 3-class,few-shot/target-label,7,88.67,84.39,92.95,81.36,95.98,96.9,5.5,90.19,87.16,90.47,moderate,EEG-0256(77.5/8.8);EEG-0353(78.7/6.5);EEG-0185(86.8/6.7);EEG-0436(90.1/9.5);EEG-0187(93.4/1.9);EEG-0230(96.4/9.2);EEG-0021(96.7/1.8),30.2715,191.8189,6,0,77.0672,100.2733
SEED-IV | 4-class,inductive/no-target,12,75.13,71.98,78.28,70.39,79.87,92.6,5.29,75.42,74.46,77.22,moderate (high I2),EEG-0005(52.8/9.2);EEG-0022(71.6/9.8);EEG-0350(72.5/6.6);EEG-0152(74.6/8.3);EEG-0014(75.3/8.2);EEG-0176(75.9/7.2);EEG-0186(76.4/5.0);EEG-0362(77.2/4.7);EEG-0425(79.2/3.3);EEG-0393(79.3/5.1);EEG-0408(81.3/5.1);EEG-0127(82.3/6.0),27.9566,149.1215,11,0,64.3005,85.9625
